Gene,Delta_EMD_mean,Delta_EMD_std,Delta_EMD_median,Global_score_weighted,Bursty_better_count,OT_better_count,Avg_difficulty,Alpha_mean_avg,Alpha_std_avg
Pax6,-0.08746968863656027,0.23220458874589892,0.00834698788117056,-0.22344306020773064,4,3,0.88796467611194,0.6573246,0.2897455
Dnmt3b,-0.19184776525998393,0.401643671723687,-0.08990991247709848,-0.2554182479618561,3,4,1.7215144485101275,0.55372876,0.3863208
Sox2,-0.2260416443898508,0.2832152514967325,-0.2027490492501629,-0.2718223565754872,2,5,9.485365151767581,0.6615885,0.36566186
Pou5f1,-0.4199262638219106,0.6988903456217346,-0.02390662482630594,-0.2944257811869996,3,4,1.889722312808617,0.7134499,0.33868238
Zfp42,-0.2298651660414067,1.6883767003517096,-0.10771534956761918,-0.6203365123494026,3,4,12.22934849347949,0.7859522,0.17421882
Dab2,-0.5005738453086176,0.7126246825162551,-0.08644350628738409,-0.8852059941888076,2,5,1.4019210266657869,0.24364431,0.2016175
Klf2,-0.19552077346770205,0.4489000000398353,-0.0002082428977113332,-1.1112894108695495,3,4,3.6820514281207974,0.3154269,0.24670921
Cdh2,-0.23514243470806986,0.6484904814680705,0.01006319494786169,-1.1268302219443977,4,3,1.0822862000370939,0.5121994,0.067321464
Cd24a,-0.7394996174155267,0.9918147866174154,-0.09726632886127212,-1.1540476904769013,3,4,1.7291793900977057,0.47000784,0.3089635
Pdgfra,-0.30646747094097904,0.6031900819193617,-0.005219998488090587,-1.2659935414630639,3,4,0.3969936326968969,0.44791934,0.25659713
