Gene,Alpha_opt_per_gene,Beta_opt_per_gene,Alpha_opt_global,Beta_opt_global,EMD_Bursty,EMD_OT,Delta_EMD
Pax6,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.6673006122366136,0.6545936395759717,-0.012706972660641913
Sox11,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.43315048693915187,0.4565054585728606,0.023354971633708754
Hoxa1,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.7985026672287582,0.7932862190812721,-0.005216448147486119
Sox9,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.8143444772130005,0.8091872791519434,-0.005157198061057078
Cdh2,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.562046734497301,0.5959258477928518,0.03387911329555082
Pdgfra,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.7550393267469485,0.7968197879858657,0.04178046123891721
Fst,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.6818586162847365,0.697924687516481,0.016066071231744417
Sparc,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,3.7476617727368238,3.4405938505351443,-0.30706792220167944
Col4a2,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.9170479651852603,0.9673144876325088,0.050266522447248496
Gata4,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,1.0891996035824458,1.1457597173144876,0.05656011373204173
Gata6,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.9296402950000757,0.9824297241706865,0.0527894291706108
Sox17,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,1.1050352858986963,1.1651706133642963,0.06013532746560002
Krt8,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,0.8538659544922241,0.9102974526660366,0.05643149817381243
Lamb1,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,1.1007421059762306,1.1674173303095816,0.06667522433335105
Dab2,0.4875026345252991,0.5124973654747009,0.4875026345252991,0.5124973654747009,1.2773552394479457,1.3480565371024733,0.0707012976545276
